le,sources,excerpt,agent,place
http://data.open.ac.uk/led/lexp/1439394751284,https://archive.org/stream/thirtyyearsofmus00kleiuoft,"<p style=""text-align: justify;"">It is worth pausing for a moment to note how quickly the popularity of Wagner was rising at this period. Only the distant onlooker could perceive how large a place the master was beginning to fill in the hearts of English music-lovers. Failing the opportunity for hearing his complete works upon the stage, they had perforce to be content to hear them, either whole or in part, upon the concert platform. The demand for this kind of thing became remarkable, and it was satisfied by the most conservative as well as the most advanced musical institutions. Imagine two concert performances of ""Parsifal"" (with very few cuts, moreover) being given in London only a couple of years after the first production of that glorious music-drama at Bayreuth! Yet this was actually done in the autumn of 1884 by the Royal Choral Society, under Joseph Barnby, with Therese Malten (the original <em>Kundry</em>), Gudehus, and Scaria in the principal parts. And really the exacting work was very creditably interpreted.</p>",,http://dbpedia.org/resource/London
http://data.open.ac.uk/led/lexp/1448706460160,https://archive.org/details/musicallettersf00unkngoog,"<p>The evening&rsquo;s festivities were concluded (professedly) by a display of fire-works on the &ldquo;Ananas mountain;"" but the songs and hurrahs continued to be heard through the night, and rising early the next morning, between four and five o&rsquo;clock, we saw from our window a part of the finale of the second day.</p>",,
http://data.open.ac.uk/led/lexp/1447580022430,https://archive.org/details/diaryofwilliampl01jaco,"<p>We dropped into Cologne about two o'clock and were right on the great Cathedral in a few minutes and into this wonderful building [...] I was struck dumb with delight at its 50 or 60 splendid pillars spring out of the floor and seeming to uphold the sky, the roof was so far away; there was a service going on, the rich organ peeling out its sweet notes around the aisles.</p>",,http://dbpedia.org/resource/Cologne_Cathedral
http://data.open.ac.uk/led/lexp/1447708233352,https://archive.org/details/CharlesLinnaeusHostetterDiaryFor1863,<p>Friday 4. A pleasant day. How relieved I feel when Friday afternoon comes no lessons until Monday. Out looking at a Regiment of Soldiers drill. They look well marching along to martial music with the stars &amp; stripes flying. Writing letters all afternoon. To hear Paul S. Dickenson lecture on the State of the Country. Very good.&nbsp;</p>,,http://dbpedia.org/resource/United_States
http://data.open.ac.uk/led/lexp/1436891628994,https://archive.org/stream/reminiscencesofm02kellrich,"<pre>The next musical piece I produced at Drury Lane was in conjunction with Mr. <br />Dusseck, the celebrated piano-forte player ; he composed the serious part of it, <br />I the comic. What he did, was masterly and effective. The piece was entitled, 
""The Captive of Spilburg;"" the story from the French piece, ""Camille ; ou, le <br />Souterrain;"" it was ably managed by Prince Hoare, and had a run of seventeen <br />nights.</pre>",,http://dbpedia.org/resource/Drury_Lane
http://data.open.ac.uk/led/lexp/1432374854992,https://archive.org/stream/recentmusicmusic00mosc,"<p>On walking through one of the back-streets I hear some showy pianoforte playing. 'Oho! Oho! that - that is no amateur, but a professional hand'. I pull the bell, and ask boldly if 'II Professore di Cembalo sia di casa?' 'Si, Signore,' is the answer, and I am soon conducted into a room, where a man of some thirty years of age is playing a Bravura Mazurka by Fumagalli, the beginning of which I had heard below; near the player sits a young Abb&eacute;. I make him understand by signs that I am anxious not to interrupt him. When he has finished, I ask, 'Will you give me lessons?' and he consents. He now plays Fumagalli's' 'Carnovale di Piu,' making all kinds of brilliant skips and octave passages; I repeatedly interrupt him with a 'bravissimo.'</p>",,http://dbpedia.org/resource/Vienna
http://data.open.ac.uk/led/lexp/1439293846354,https://archive.org/stream/thirtyyearsofmus00kleiuoft,"<p style=""text-align: justify;"">In 1861 I wrote my first two serious compositions, the string quintet in G and the quartet in A minor. I persuaded some friends to play the quintet, and they were rather pleased with it. It reminded them of Haydn, Mozart, and early Beethoven. Thereupon I showed it to my teacher, Krejci, and was very proud when he expressed himself contented.</p>",http://dbpedia.org/resource/Anton%C3%ADn_Dvo%C5%99%C3%A1k,http://dbpedia.org/resource/Kingdom_of_Bohemia
http://data.open.ac.uk/led/lexp/1424691738393,https://archive.org/details/lettersofcompose00norm,"<p>How I wish I could listen to your beautiful playing again! Was it all a dream - our tour in Holland last winter, your brilliant reception everywhere, particularly at Rotterdam, and the torches carried in our honour. You played the E-flat Concerto, Beethoven&rsquo;s sonatas in C major and F minor, Chopin&rsquo;s studies, Mendelssohn&rsquo;s Songs without Words, and my new Konzertst&uuml;ck in D in such glorious fashion.</p>",http://dbpedia.org/resource/Robert_Schumann,http://dbpedia.org/resource/Holland
http://data.open.ac.uk/led/lexp/1434465674622,https://archive.org/details/autobiographyan05unkngoog,"<p>Letter from Mrs. Delany to Mrs. Dewes, Delville, 26 April, 1746 This has been a week of hurry with me indeed. On Thursday I went to the music for the benefit of the Hospital of Incurables, which was crowded&mdash;the piece performed was Alexander's Feast ; and yesterday went to see the Beggars' Opera. We have had glorious news from Scotland. I hope, in God, the affair of the rebellion is now at an end, and that we shall meet in peace.</p>",,http://dbpedia.org/resource/Glasnevin
http://data.open.ac.uk/led/lexp/1449011557797,https://archive.org/details/musicallettersf00unkngoog,"<p>In the evening we went to the Wickliffe Chapel, Commercial Road, East, Rev. Andrew Reed, D.D., pastor. Dr. Reed was in America several years since, in company with Mr. Matheson, now no more. In the singing exercises, the hymn was lined out. The choir (so called) consisted of several men who occupied a square pew in front of the pulpit The first tune was Dr. Arnold&rsquo;s Wareham, abridged; the second Was French (Dundee), and the third I knew not, but it was unfit for Congregational use, as it went up to G and dwelt there considerably. No small effort was made by good people around me to reach the lofty eminence, but in vain; most voices fell short of the pitch, and vibrations inharmonious followed. The hymn was that beginning,</p>
<p>&ldquo;No more, my God, I boast no more,<br />Of all the duties I have done.&rdquo;</p>
<p>The tune Hamburg, in the key of E flat, would have suited it exactly.</p>",,
